	W(MeV)	Re(0)	Im(0)	Re(+)	Im(+)	Re(-)	Im(-)	wlab(MeV)	wcm(MeV)
70	1430.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
71	1435.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
72	1440.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
73	1445.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
74	1450.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
75	1455.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
76	1460.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
77	1465.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
78	1470.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
79	1475.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
80	1480.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
81	1485.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
82	1490.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
83	1495.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
84	1500.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
85	1505.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
86	1510.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
87	1515.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
88	1520.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
89	1525.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
90	1530.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
91	1535.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
92	1540.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
93	1545.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
94	1550.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
95	1555.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
96	1560.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
97	1565.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
98	1570.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
99	1575.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
